+----+-----+-------+---------------------+
|year|month|station|avgMonthlyTemperature|
+----+-----+-------+---------------------+
|1994|    7|  78140|                 23.0|
|1994|    7|  75120|                 22.9|
|1994|    7|  65450|                 22.9|
|1994|    7|  85280|                 22.9|
|1994|    7|  95160|                 22.8|
|1994|    7|  96000|                 22.8|
|1994|    7|  76000|                 22.7|
|2002|    8|  78140|                 22.7|
|1994|    7| 105260|                 22.7|
|1994|    7|  86200|                 22.7|
|1997|    8|  78140|                 22.7|
|2006|    7|  76530|                 22.6|
|2006|    7|  78140|                 22.5|
|1994|    7|  86330|                 22.5|
|1994|    7|  54300|                 22.5|
|2006|    7|  75120|                 22.5|
|2014|    7|  98180|                 22.4|
|1994|    7|  85210|                 22.4|
|2002|    8|  98180|                 22.4|
|1994|    7|  98180|                 22.4|
+----+-----+-------+---------------------+
